title,country,poster,release_year,genre,director,starring
Dong Kau Ji,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1981,"historical, martial arts",,"Yueh Hua, Poon Chi-Man, Willy Kong Tou, Ng Gong, Law Lok-Lam, Mak Tin-Yan, Yuen Pui-Chun, Tam Wing-Git, Ping Fan, Cheung Ying, Ling Man-Hoi "
"Infatuating Palm, The (Part 1)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1966,martial arts,Fung Chi-Kong ,"Cheung Ying-Tsoi, Josephine Siao Fong-Fong, Pearl Au Ka-Wai, Cecelia Lee Fung-Sing, Seung-Goon Yuk, Sek Kin "
"Infatuating Palm, The (Part 2)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1966,martial arts,Fung Chi-Kong ,"Cheung Ying-Tsoi, Josephine Siao Fong-Fong, Pearl Au Ka-Wai, Cecelia Lee Fung-Sing, Sek Kin, Seung-Goon Yuk, Simon Yuen Siu-Tin "
The Blood-Stained Butterly Mountain,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1965,martial arts,Kwan Chi-Kin ,"Ng Kwun-Lai, Cheung Ying-Tsoi, Tang Pik-Wan, Lam Fung, Lam Kau, Kwan Hoi-San, So Siu-Tong, Lok Gung, Ma Chiu-Tse, Lai Man, Cheung Chi-Suen "
The Blood-Stained Swords of Shaolin,Hong Kong,https://en.hkcinema.ru/foto/c388f579.jpg,1955,"martial arts, musical",Chan Kwok-Wah ,"Walter Tso Tat-Wah, Fung Wong-Nui, Chan Kam-Tong, Ng Kung-Yin, Sek Kin, Lam Ka-Sing, Lau Hak-Suen, Ling Mung, Yue Ming, Fong Ping "
The Blood-Stained Butterfly Dart,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1963,martial arts,Wong Hok-Sing ,"Lam Ka-Sing, Fung Wong-Nui, Tam Sin-Hung, Lau Hak-Suen, Luk Fei-Hung, Siu Chung-Kwan, Lai Man, Chan Pei-Mui "
The Deer and the Cauldron,Hong Kong,https://en.hkcinema.ru/foto/5c6168c1bcb93.jpg,2021,"drama, martial arts, fantasy",,Edmond Pang Ho-Cheung 
He Walks Like a Tiger,Hong Kong,https://en.hkcinema.ru/foto/55cc79e140b53.jpg,1973,martial arts,Kong Yee-Hung ,"Alex Lung Ji-Fei, Steve Yu Shung-Ying, Someno Yukio, Lee Ka-Ting, Hon Kwok-Choi, Yau Lung, Fang Mian, Suen Lam, Chan Ling-Wai, Yau Ming "
He Heals and Kills,Taiwan,https://en.hkcinema.ru/foto/a0884ee5.jpg,1971,martial arts,Chan Hung-Man ,"Wong Yung, Chang Chi-Yu, Lee Hung, Tsui Fu-Sheng, Fuh Bih-Huei, Wen Yi-Min, Pan Chieh-Yi, Chen Kuo-Chun, Chow Siu-Hing, Got Siu-Bo "
He's a Legend; He's a Hero,Hong Kong,https://en.hkcinema.ru/foto/a6cf2ca5.jpg,1976,martial arts,Wong Sing-Loy ,"Bruce Li Shao-Lung, Hsieh Han, Su Chiang, Chen Pei-Zhen, Yam Ho, Wong Gwok-Chue, Woo Kei, Lee Wan-Chung, Hon Siu, Yu Chung-Chiu, Caryn White "
She's a Musketeer (Part 1),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1964,martial arts,Wong Yiu ,"Tang Pik-Wan, Yu So-Chau, Cheung Ying-Tsoi, Sek Kin, Tong Kai, Lee Heung-Kam, Lee Pang-Fei, Cheung Sang, Lok Gung, Wong Hak "
She's a Musketeer (Part 2),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1964,martial arts,Wong Yiu ,"Tang Pik-Wan, Yu So-Chau, Cheung Ying-Tsoi, Sek Kin, Lee Heung-Kam, Lee Pang-Fei, Cheung Sang, Kam Yim-Fong "
No-one Can Touch Her,Taiwan,https://en.hkcinema.ru/foto/3f294f82.jpg,1979,martial arts,Ting Shan-Hsi ,"Chia Ling, Suen Ga-Lam, Kam Kong, Hsieh Han, Tong Lung, Yu Chung-Chiu, Kon Tak-Mun, Wong Yu, Tse Gam-Guk, Chu Siu-Wa, Ngai Chi-Wong "
She'd Hate Rather Love,Taiwan,https://en.hkcinema.ru/foto/5cb59a38.jpg,1971,martial arts,Hua Hui-Ying ,"Han Hsiang-Chin, David Tang Wei, Wong Ching-Chun, Wei Su, Wan Chung-Shan, Chan Wai-Lau, Chang Feng, Miao Tian, Hsieh Han, Go Ming "
Downhill They Ride,Hong Kong,https://en.hkcinema.ru/foto/6e6e4afc.jpg,1966,martial arts,Pan Lei ,"Pat Ting Hung, Paul Chang Chung, Huang Chung-Hsin, Man Ling, Ou Wei, Wang Hsieh, Wei Pin-Ao, Zhang De-Liang, Shum Lo, Ma Ying, Got Siu-Bo "
Perils of the Sentimental Swordsman,Hong Kong,https://en.hkcinema.ru/foto/917743d2.jpg,1982,"martial arts, fantasy",Chor Yuen ,"Ti Lung, Teng Wei-Hao, Ku Kuan-Chung, Lo Lieh, Choh Seung-Wan, Tai Liang-Chun, Ku Feng, Lau Siu-Kwan, Eric Chan Ga-Kei, Yuen Tak "
Treacherous Waters,China,https://en.hkcinema.ru/foto/sp_53bfe35880d02.jpg,2004,"fantasy, martial arts, drama",Kuk Kok-Leung ,"Julian Cheung Chi-Lam, Wallace Chung Hon-Leung, Ben Wong Chi-Yin, Li Xiao-Ran, Song Jia, Yu Na, Li Hai-Tao, Liu Wei-Hua, Lu Yong "
Ninja Operation 6: Champion on Fire,Hong Kong,https://en.hkcinema.ru/foto/a20e561f.jpg,1986,martial arts,Joseph Lai San-Lun ,"Richard Harrison, Stuart Smith "
Opium and the Kung-Fu Master,Hong Kong,https://en.hkcinema.ru/foto/5619242d8330d.jpg,1984,"historical, martial arts, drama, comedy",Tong Kai ,"Ti Lung, Robert Mak Tak-Law, Tong Kai, Chen Kuan-Tai, Leanne Lau Suet-Wah, Phillip Ko Fei, Ku Kuan-Chung, Alan Chan Kwok-Kuen, Lee Hoi-Sang "
The Opium Trail,Hong Kong,https://en.hkcinema.ru/foto/7c59ba61.jpg,1973,martial arts,Wong Fung ,"Angela Mao Ying, Carter Wong Ka-Tat, Travador Ramos, James Nam Gung-Fan, Lung Fei, Yee Yuen, Cheng Fu-Hung, Shih Ting-Ken, Chan Chuen "
Paid with Blood,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1970,martial arts,Kim Lung ,"Cheung Ching-Ching, Kong Ban, Yee Yuen, Ho Yu-Hua, Kuo Nai-Hua, Chan Bo-Leung, Wu Min-Hsiung, Han Chiang, Law Bun, Chang Peng-I, Lam Lam "
Eagle vs. Silver Fox,South Korea,https://en.hkcinema.ru/foto/561bda03bb565.jpg,1980,martial arts,Godfrey Ho Jeung-Keung ,"Hwang Jang-Lee, Gwak Mu-Seong, Sarah Sit Chi-Lin, Nam Chung-Yat, Chiu Chun, Kim Yu-Haeng, Pok Chung-Sit, Choe Mu-Ung, Kim Gi-Jong "
The Orientation,Taiwan,https://en.hkcinema.ru/foto/78fa5038.jpg,1980,martial arts,Chang Pei-Cheng ,"Ching Sau-Ying, Heung Wan-Pang, Lam Siu-Lau, Pai Ying, Lang Xiong, Wong Wing-Sang, Got Siu-Bo, Tieh Meng-Chiu "
Orthodox Chinese Kung Fu,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1977,martial arts,Yu Han-Hsiang ,"Wei Hai-Min, Ling Yun, Liu Wai, Woo Gam, Ko Hsiang-Ting, Wei Pin-Ao, Betty Pei Ti, Wang Hsieh, Cho Boon-Feng, Liu Chik, Clement Yip Chiu-Yuk "
Weapons of Power,Hong Kong,https://en.hkcinema.ru/foto/5dd2690c243f3.jpg,1996,"historical, martial arts, comedy","Lui Shui-Lun, Huang Guo-Qiang, Law Wing-Cheong, Lo Leun-Seung ","Leo Koo Kui-Kei, Fan Siu-Wong, Mimi Chu Mai-Mai, Ling Hon, Lam Pui-Kwan, Vincent Cheung Hon-Ban, Hoh Bek-Gin, Lai Sau-Ying, Bao Fang "
"Weapon, Blood-sucker, The (Part 1)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1949,martial arts,Chan Pei ,"Chan Kam-Tong, Law Yim-Hing, Chan Wai-Yue, Chui Ji-Chiu, Wong Cho-San, Yee Chau-Sui, Lee Yuet-Ching, Ling Mung, So Siu-Tong, Ho Chung-Fong "
"Weapon, Blood-sucker, The (Part 2)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1949,martial arts,Chan Pei ,"Chan Kam-Tong, Law Yim-Hing, Chan Wai-Yue, Chui Ji-Chiu, Yee Chau-Sui, So Siu-Tong, Wong Cho-San, Ling Mung, Lee Yuet-Ching "
"Haunt of the Eastern Capital, The (Part 3)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1950,martial arts,Wong Hok-Sing ,"Wong Hok-Sing, Lee Hoi-Chuen, Man Kok-Fei, Leung Bik-Yuk, Ma Ying, Fung Ying-Seung, Cheung Sing-Fei, Au Wai-Chuen, Lee Siu-Wan, Mo Wai-Yeung "
To Skin a Tiger,Hong Kong,https://en.hkcinema.ru/foto/f75c9fb2.jpg,1972,martial arts,Kao Li ,"Cindy Tang Hsin, Tin Ching, Su Chiang, Lau Kong, Lee Man-Chow, Chai Lin-Fui, Tiu Wai, Leung Yui, Lee Man-Tai, Chou Si-Si "
The Sainted Sword,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1969,martial arts,Lee Tit ,"Patrick Tse Yin, Ling Fung, Fong Sam, Cheung Yee, Yuen Siu-Fai, Eddy Ko Hung, Ling Mung, Wah Wan-Fung, Pak Man-Biu, Hao Li-Jen "
Thunderstorm Rider,Taiwan,https://en.hkcinema.ru/foto/5d959e64df120.jpg,1998,"historical, martial arts","Wang Hui-Ling, Wong Chi-Sang ","Gam Chiu-Kwan, Cynthia Khan, Xu Jing-Lei, Shao Feng, Wang Gang, Yeung Chung-Yan, Lu Xing-Yu, Miu Hung, Wang Rui-Lin, Zhang Yan "
Special ID,China,https://en.hkcinema.ru/foto/2993d064.jpg,2013,"action, martial arts, thriller",Clarence Ford ,"Donnie Yen Ji-Dan, Jing Tian, Andy On Chi-Kit, Ken Lo Wai-Kwong, Ngai Sing, Nina Pau Hei-Ching, Ronald Cheng Chung-Kei, Terence Yin Chi-Wai "
A Special Task,China,https://en.hkcinema.ru/foto/nofoto.gif,2014,martial arts,Liu Xin-Yi ,"Zhang Yi-Mu, Zhao Qing, Wang Zhen, Guo Chen, Ceng Yun-Zhen, Sun Wei-Dong, Teng Qiang, Li Xing-Hai, Wei Jin-Tao, Wang Jie "
A Woman as Sharp as a Blade,Hong Kong,https://en.hkcinema.ru/foto/739ed909.jpg,1951,martial arts,Chan Yik-Ching ,"Yu So-Chau, Wang Yuan-Long, Wong Ho, Huang He, Yam Yin, Lam Kau, Tung Chan, Hung Bo, Yeung Kung-Leung, Yang Sheng "
Island of Virgins,Hong Kong,https://en.hkcinema.ru/foto/97a4f83f.jpg,1978,martial arts,Hua Shan ,"Helen Poon Bing-Seung, Chow Lai-Guen, Hon Kwok-Choi, Chiang Nan, Chung Gwok-Yan, Max Lee Chiu-Chun, Kwok Wai-Bing, Cheng Lui "
Treasure Island,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1964,martial arts,"Fu Chi, Cheung Sing-Yim ","Chen Si-Si, Fu Chi, Wong Pao-Cheng, Ping Fan, Chang Tseng "
Island Warriors,Taiwan,https://en.hkcinema.ru/foto/33fea13d.jpg,1981,martial arts,Ulysses Au-Yeung Jun ,"Elsa Yeung Wai-San, Fanny Fong Fong-Fong, Ng Haau-Ling, Mary Wong Ma-Lee, Ha Kwong-Li, Teresa Tsui Jun-Jun, Don Wong Tao, Cheng Fu-Hung "
The Denouncement of Chu Liu Hsiang,Taiwan,https://en.hkcinema.ru/foto/61a78f08.jpg,1983,martial arts,Chang Peng-I ,"Adam Cheng Siu-Chow, Lu Yi-Feng, Norman Chu Siu-Keung, Lui Ying-Ying, Fan Mei-Sheng, Henry Luk Yat-Lung, Wong Chi-Sang, Chang Yi-Kuai "
The Condemned,Hong Kong,https://en.hkcinema.ru/foto/0ca4f397.jpg,1976,"martial arts, drama",David Chiang Da-Wei ,"David Chiang Da-Wei, Tsai Hung, Lily Li Li-Li, Ku Feng, Woo Gam, Pai Ying, Kong Yeung, Chan Shen, Yuen Sam, Wong Ching "
The Brave and the Evil,Taiwan,https://en.hkcinema.ru/foto/89e2ab27.jpg,1971,martial arts,Jimmy Wang Yu ,"Jimmy Wang Yu, Polly Shang-Kuan Ling-Feng, Paul Chang Chung, Kenneth Tsang Kong, Hsieh Han, Wan Chung-Shan, Miao Tian, Su Chen-Ping "
The Daring Gang of Nineteen from Verdun City,Hong Kong,https://en.hkcinema.ru/foto/34270615.jpg,1960,martial arts,Tu Kuang-Chi ,"Carrie Ku Mei, Chin Feng, Josephine Siao Fong-Fong, Lam Fung, Lin Jing, Tang Ti, Tsu Kang, Chen Wan-Li, Lin Wei-Cheng "
The Brave Eight,Hong Kong,https://en.hkcinema.ru/foto/7a01c68f.jpg,1955,"martial arts, musical",Chan Kwok-Wah ,"Walter Tso Tat-Wah, Koo Tin-Ng, Law Yim-Hing, Suet Yim-Mui, Chan Kam-Tong, Cheng Wai-Sum, Sek Kin, Siu San-Kuen, To Sam-Ku, Kam Ling "
A Brave Heroine Called Tigress,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1950,martial arts,Hung Chung-Ho ,"Yu So-Chau, Lam Kau, Pak Wan, Tang Cheung, Ha Wa, Chan Fai, Go Chiu, Lee Keng-Ching, Cheung Sang "
A Brave Girl-Boxer in Shanghai,Taiwan,https://en.hkcinema.ru/foto/de3c48b7.jpg,1972,martial arts,"Yu Han-Hsiang, Fu Ching-Hua ","Doris Lung Chun-Erh, Wen Chiang-Long, Yang Yang, Chen Hung-Lieh, Yee Yuen, Shao Lo-Hui, Ngok Fung, Ng Tung-Kiu, Weng Hsiao-Hu "
The Bravest Revenge,Taiwan,https://en.hkcinema.ru/foto/5b7f4f50.jpg,1970,martial arts,Kim Lung ,"Polly Shang-Kuan Ling-Feng, Tien Peng, Yee Yuen, Ma Kei, Wan Chung-Shan, Chan Bo-Leung, Hsieh Han, Ng Ho, Ko Hsiang-Ting, Shao Lo-Hui "
The Bold Three,Taiwan,https://en.hkcinema.ru/foto/a85d6926.jpg,1972,martial arts,Fu Ching-Hua ,"Chen Hung-Lieh, Yee Yuen, Miao Tian, Doris Lung Chun-Erh, Wong Jun, Lu Bi-Yun, Chen Chien-Ping, Su Chin-Lung, Ngok Fung, Shao Lo-Hui "
The Brave Lion,Hong Kong,https://en.hkcinema.ru/foto/356074e0.jpg,1974,martial arts,Wu Fei-Chien ,"Barry Chan, Wong Fei, Wu Fei-Song, Cheng Fu-Hung, Ng Fei-Git, Tsai Hung, Ngok Fung, Tai Leung, Yu Heng, Tsang Ming-Cheong, Lai Wen-Chin "
The Daring Sword,Hong Kong,https://en.hkcinema.ru/foto/e5d95cef.jpg,1969,martial arts,Kiu Chong ,"Paul Chang Chung, Man Sam, Yuen Sam, Little Unicorn, Man Git, Kiu Chong, Tien Yeh, Feng Chun-Ping, Wu Kuang, Cham Siu-Hung "
The Valiant Prince,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1961,"martial arts, comedy",Lung To ,"Yam Kim-Fai, Law Yim-Hing, Leung Sing-Bo, Connie Chan Po-Chu, Siu San-Kuen, Yue Ming, Yam Bing-Yee, Pak Lung-Chu, Ling Mung, Cheung Sang "
Esquire Hotel,Taiwan,https://en.hkcinema.ru/foto/ac69497b.jpg,1971,martial arts,Pai Ching-Jui ,"Chen Chen, O Chun-Hung, Woo Gam, Sun Yueh, Chen Hung-Lieh, Yueh Yang, Violet Pan Ying-Zi, Essie Lin Chia, Pai Chia-Li, Ko Hsiang-Ting "
The Desperate Chase,Taiwan,https://en.hkcinema.ru/foto/007dc1c1.jpg,1971,martial arts,"Kao Pao-Shu, Yao Feng-Pan ","Jimmy Wang Yu, Lisa Chiao Chiao, Tanny Tien Ni, Yang Yang, Yau Lung, Guan Shan, Yee Yuen, Lung Fei, Miao Tian, Au Lap-Bo, Wong Wing-Sang "
Desperate Seven,Hong Kong,https://en.hkcinema.ru/foto/7c10d655.jpg,1968,martial arts,Wong Tin-Lam ,"Chao Lei, Kong Hung, Tin Ching, Kong San, Chiang Nan, Leung Yui, Liu En-Jia, Ma Chien-Tang, Sai Gwa-Pau, Wong Ping "
Desperate Crisis,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1974,martial arts,Yang Shih-Ching ,"Ko Keung, Huang Man-Miao, Cho Kin, Miao Tian, Hsieh Han, Chan Wai-Lau, Yu Chung-Chiu, Chang Peng, Ho Wei-Hsiung, Poon Cheung-Ming "
The Desperate Prodigal,Hong Kong,https://en.hkcinema.ru/foto/561cef527e485.jpg,1981,martial arts,Tien Peng ,"Wong Goon-Hung, O Chun-Hung, Tien Peng, Tin Hok, Chan Sing, Kam Kong, Addy Sung Gam-Loi, Ying Cai-Ling, Ming Ming, Chen Hung-Lieh "
Desperate Avenger,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1973,martial arts,Chan Hung-Man ,"Lung Fei, Shut Chung-Tin, Feng Hai, Sally Chen Sha-Li, Chan Gam-Fai, Law Bun, Wong Hoi, Wong Yu, Chang Ping-Yu, Yi Ming, Ng Yin "
Desperate Killer,Taiwan,https://en.hkcinema.ru/foto/28829851.jpg,1978,martial arts,Ulysses Au-Yeung Jun ,"Chang Yu, Wong Goon-Hung, Elsa Yeung Wai-San, Lau Lap-Cho, Sek Fung, Wong Yeuk-Ping, Li Min-Lang, Chan San-Yat, Ma Cheung "
"The Desperado, Part One",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1962,martial arts,Ling Yun ,"Lam Ka-Sing, Yu So-Chau, Josephine Siao Fong-Fong, Sek Kin, Kam Ying-Lin, Chu Dan, Ling Mung, Wong Chiu-Fung, Lok Gung, Cheung Sing-Fei "
Shaolin Ex Monk,Taiwan,https://en.hkcinema.ru/foto/5e2816e4.jpg,1978,martial arts,Chang Hsin-Yi ,"Blacky Ko Sau-Leung, John Liu Chung-Liang, Alan Chui Chung-San, Jack Lung Sai-Ga, Cecilia Wong Hang-Sau, Chang Chi-Ping, Liu Ming "
Ouying De and His Double,Hong Kong,https://en.hkcinema.ru/foto/b8d3e394.jpg,1952,"martial arts, comedy",Ku Wen-Chung ,"Lau Ga-Yee, Lau Kwai-Hong, Lo Ban-Chiu, Law Yim-Hing, Sek Kin, Lam Ka-Sing, Ho King-Fan, Ha Bo-Lin, Yeung Yip-Wang, Simon Yuen Siu-Tin "
Capturing III,China,https://en.hkcinema.ru/foto/c6ad178f4bd8c0c81ee4928bae64e192dbn.jpg,2016,martial arts,,Zeng Fu-Hu 
Crystal Hunt,Hong Kong,https://en.hkcinema.ru/foto/653059d5.jpg,1991,martial arts,Hsu Hsia ,"Donnie Yen Ji-Dan, Carrie Ng Ka-Lai, Sibelle Hu Hui-Chung, Takajo Fujimi, John Salvitti, Ken Lo Wai-Kwong, Michael Woods, Hsu Hsia "
Monster Hunt 2,China,https://en.hkcinema.ru/foto/5b50af891f144.jpg,2018,"martial arts, comedy, adventure, fantasy, romance",Raman Hui ,"Bai Baihe, Boran Jing Bo-Ran, Tony Leung Chiu-Wai, Huang Lei, Li Yu-Chun, Eric Tsang Chi-Wai, Sandra Ng Kwun-Yu, Tony Yang You-Ning "
Capture of Seven Tigers,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1970,martial arts,He Fang ,"Chao Lei, Tanny Tien Ni, Kiu Lam, Tin Man-Chung, Sun Yueh, Wang Sun, Chin Li-Sheng, Cheung Kai, Suen Shing, Cho Boot-Lam "
Manhunt,Hong Kong,https://en.hkcinema.ru/foto/453f75d4.jpg,1978,martial arts,Patrick Kong Yeung ,"Li Yi-Min, Phillip Ko Fei, Carrie Lee Ying-Ying, Lo Lieh, Nick Cheung Lik, Tang Ti, Bruce Cheung Mong, Lam Yeung-Yeung, Pui Tak-Wan "
Hunter Bounty 2,China,https://en.hkcinema.ru/foto/5c3d506b37764.jpg,2019,"comedy, martial arts, historical",Qian Ying-Huai ,"Anna Fang An-Na, Hong Yao, Yu Yi-Ling, Yuan Xin, Dong De-Sheng, Lee Kin-Yan, Jiao Chang-Shun, Yang Zhen-Qi, Chen Sha-Ping, Zhang Yu-Jun "
Zhong Kui Zhuo Yao Ji Zhi Mang Yan Chuan Shuo,China,https://en.hkcinema.ru/foto/5bdd4b7b0fe73.jpg,2018,"drama, comedy, martial arts, fantasy","Jin Rui, Yin Bo ","Jin Yu-Bo, Cheng Si-Jia, Sun Tong-Xin, Ji Yun, Cao Han, Dai Yue, Huang Hong, Ding Lei, Ma Ji, Wei La, Xie Shan-Shan, Cha Kun-Ru "
Man Hunter,China,https://en.hkcinema.ru/foto/2772eeaf.jpg,2014,martial arts,"Ma Zhong-Xuan, Wu Yue ","Wu Yue, Xuan Lu, Du Yu-Ming, Zang Jin-Sheng, Liu Gang, Chiu Chin "
Future Hunters,Philippines,https://en.hkcinema.ru/foto/56ea3479d9b9c.jpg,1986,"action, martial arts, science fiction",Cirio H. Santiago ,"Robert Patrick, Bruce Le, Linda Carol, Hwang Jang-Lee, Richard Norton "
Gold Snatchers,Hong Kong,https://en.hkcinema.ru/foto/55cc7a62f2f55.jpg,1973,martial arts,Kim Lung ,"Chan Sing, Kurata Yasuaki, Lung Fei, Liu Ping, Chan Wai-Lau, Gam Ming, Blacky Ko Sau-Leung, Lung Fong, Wang Tai-Lang, Ma Kei "
The Gold Hunters,Hong Kong,https://en.hkcinema.ru/foto/c7f57489.jpg,1981,martial arts,"Fung Hak-On, Law Kei ","Lau Ga-Yung, Lee Hoi-Sang, Mang Chiu, Lau Nga-Lai, Fung Hak-On, Chu Tit-Wo, Wilson Tong Wai-Shing, Tai Bo, Wu Ma, Melvin Wong Gam-San "
Treasure Hunters,Hong Kong,https://en.hkcinema.ru/foto/63afde36.jpg,1981,martial arts,Lau Kar-Wing ,"Alexander Fu Sheng, Gordon Liu Chia-Hui, Cheung Chin-Pang, Johnny Wang Lung-Wei, Lau Kar-Wing, Jackson Ng Yuk-Sue, King Lee King-Chu "
Treasure Hunters,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1984,martial arts,,Bruce Le 
The Woman Guard,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1941,martial arts,Yam Pang-Nin ,"Wu Lai-Chu, Fung Fung, Yiu Ping, Wong Ha-Fei, Wong Cho-San, Gam Yi, Fung Fung, Ha Bo-Lin, Yeung Yat-Ping, Gam Ling, Lai Ming "
The Charming Killer,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1969,martial arts,Yang Fan ,"Patrick Tse Yin, So Ching, Cheung Ying-Tsoi, Lee Kwan-Yee, Lam Bou-Kuen, Sek Kin, Ng Tung, Gam Lui, Stanley Fung Sui-Fan, Wong San "
Seven Spirit Pagoda,Taiwan,https://en.hkcinema.ru/foto/57e2e4b9.jpg,1976,martial arts,Tong Sang ,"Hsu Feng, Lin Kuang-Tseng, Chia Ling, Wen Chiang-Long, Chuen Yuen, Chang Ping-Yu, Hsiang Chun, Tieh Meng-Chiu, Wong Yu, Liu Ming "
Pai Yu-Ching,Taiwan,https://en.hkcinema.ru/foto/3539105e.jpg,1977,martial arts,Lee Chia ,"Tien Peng, Hsu Feng, Pai Ying, Tang Pao-Yun, Wen Chiang-Long, Lee Keung, Blacky Ko Sau-Leung, Miao Tian, Hsieh Han, Ku Kwan, Got Siu-Bo "
The Executioner,Hong Kong,https://en.hkcinema.ru/foto/5657e54c41400.jpg,2015,"historical, martial arts, drama",,"Kenny Wong Tak-Ban, Maggie Siu Mei-Kei, Yang Ming, Katy Kung Ka-Yan, Elaine Yiu Chi-Ling, Joel Chan San-Chung, Wu Fung, Hugo Ng Doi-Yung "
Kung Fu Executioner,Hong Kong,https://en.hkcinema.ru/foto/6ade8a73.jpg,1981,martial arts,Lin Chan-Wai ,"Carl Scott, Billy Chong Chuen-Lei, Chan Sing, Lily Lan Yu-Li, Miao Tian, Chiang Tao, Chen Yu-Hsin, Ma Chung-Tak, Kwan Ngai, Cliff Ching Ching "
Executioners from Shaolin,Hong Kong,https://en.hkcinema.ru/foto/1594a4f7.jpg,1977,martial arts,Liu Chia-Liang ,"Chen Kuan-Tai, Wong Yu, Lily Li Li-Li, Lo Lieh, Chiang Tao, Cheng Kang-Yeh, Billy Chan Wui-Ngai, Wong Chi-Keung, Gordon Liu Chia-Hui "
Little Godfather from Hong Kong,Hong Kong,https://en.hkcinema.ru/foto/48e7ae62.jpg,1974,"martial arts, drama",Ng See-Yuen ,"Bruce Leung Siu-Lung, Mang Hoi, Kurata Yasuaki, Gordon Mitchell, Consalvo Dell'arti, Mario Cutini, Maria D'Incoronato, Fan Yu, Shirley Corrigan "
Finger of Doom,Hong Kong,https://en.hkcinema.ru/foto/fa97e3a2.jpg,1972,martial arts,Pao Hsueh-Li ,"Ivy Ling Po, Chin Han, Chen Feng-Chen, Hung Sing-Chung, Park Ji-Hyeon, Yang Chi-Ching, Tung Li, Tung Lo, Ou-Yang Sha-Fei, Shum Lo, Lan Wei-Lieh "
"Scorching Sun, Fierce Winds, and Wild Fire",Taiwan,https://en.hkcinema.ru/foto/561a9ee365ebd.jpg,1979,martial arts,Sun Kam-Yun ,"Tien Peng, Angela Mao Ying, Chang Yu, Dorian Tan Tao-Liang, Lo Lieh, Ng Yau-Chi, Lung Fong, Hilda Liu Hao-Yi, Shih Ting-Ken, Tsui Fu-Sheng "
The Sword Couple,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1963,martial arts,Patrick Kong Yeung ,"Cheung Ying-Tsoi, Yu So-Chau "
Paragon of Sword and Knife,Hong Kong,https://en.hkcinema.ru/foto/7f61d4e0.jpg,1967,martial arts,Chan Lit-Ban ,"Connie Chan Po-Chu, Suet Nei, Kenneth Tsang Kong, Lee Kui-On, Teresa Ha Ping, Wong Oi-Ming, Tang Ti, Sek Kin, Law Oi-Seung "
Paragon of Sword and Knife (Grand Finale),Hong Kong,https://en.hkcinema.ru/foto/c7ee3c1d.jpg,1968,martial arts,Chan Lit-Ban ,"Suet Nei, Kenneth Tsang Kong, Lee Kui-On, Teresa Ha Ping, Connie Chan Po-Chu, Wong Oi-Ming, David Chow Wing-Kwong, Lam Tin "
Kid from Kwangtung,Hong Kong,https://en.hkcinema.ru/foto/00eb52b8.jpg,1982,"martial arts, comedy",Hsu Hsia ,"Wong Yu, Yuen Tak, Chiang Kam, Sharon Yeung Pan-Pan, Kwan Hoi-San, Yen Shi-Kwan, Hwang Jang-Lee, Choi Kwok-Hing, Ho Pak-Kwong "
Chaochow Guy,Taiwan,https://en.hkcinema.ru/foto/e46ebfcb.jpg,1972,martial arts,Chin Sheng-En ,"Tien Peng, Nancy Yen Nan-See, Wong Goon-Hung, Wong Fei-Lung, Lee Keung, Pan Chuan-Ling, Blacky Ko Sau-Leung, Chan San-Yat, Ko Chun-Pang "
The Kid with the Golden Arm,Hong Kong,https://en.hkcinema.ru/foto/4194461b.jpg,1979,martial arts,Chang Cheh ,"Lo Meng, Lu Feng, Phillip Kwok Chun-Fung, Chiang Sheng, Wai Pak, Wong Lik, Johnny Wang Lung-Wei, Sun Chien, Wong Kar-Leung "
Lung Kuen Siu Chi,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1975,martial arts,,"Lo Lieh, Kwan Yung-Moon, Lee Hae-Ryong "
